Id,Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
19690,3800 BLOCK OF E BURNSIDE ST,23-907473,Property,Laurelhurst,03-04-2023,800,Larceny Offenses,All Other Larceny,45.52356467,-122.6233945,7657947,684130,03-04-2023,1
19691,5400 BLOCK OF NE 24TH AVE,23-85398,Property,Concordia,03-04-2023,1200,Motor Vehicle Theft,Motor Vehicle Theft,45.56241161,-122.6408425,7653852,698407,03-04-2023,1
19692,4700 BLOCK OF S KELLY AVE,23-907578,Property,South Portland,03-04-2023,750,Vandalism,Vandalism,45.48908409,-122.6747778,7644444,671913,03-04-2023,1
19693,2200 BLOCK OF NW LOVEJOY ST,23-907594,Property,Northwest,03-04-2023,1900,Larceny Offenses,Theft From Motor Vehicle,45.52976411,-122.6975914,7638999,686898,03-04-2023,1
19694,9400 BLOCK OF N CHICAGO AVE,23-907430,Property,St Johns,03-04-2023,605,Motor Vehicle Theft,Motor Vehicle Theft,45.5959383,-122.7491337,7626467,711380,03-04-2023,1
19695,SW 10TH AVE / SW YAMHILL ST,23-907599,Property,Downtown,03-04-2023,900,Larceny Offenses,Theft From Motor Vehicle,45.51933557,-122.682466,7642771,682992,03-04-2023,1
19696,1900 BLOCK OF NE 67TH AVE,23-907580,Property,Madison South,03-04-2023,300,Vandalism,Vandalism,45.53635648,-122.5943278,7665515,688598,03-04-2023,1
19697,UNKNOWN ADDRESS,23-85874,Property,,03-04-2023,1301,Vandalism,Vandalism,,,,,03-04-2023,1
19698,700 BLOCK OF SW ST CLAIR AVE,23-907474,Property,Goose Hollow,03-04-2023,900,Burglary,Burglary,45.52258696,-122.6968569,7639116,684277,03-04-2023,1
19699,SW BROADWAY / SW JEFFERSON ST,23-907466,Property,Downtown,03-04-2023,1830,Vandalism,Vandalism,45.51535087,-122.6817899,7642905,681535,03-04-2023,1
19700,600 BLOCK OF S LOWELL ST,23-86119,Property,South Portland,03-04-2023,1410,Larceny Offenses,All Other Larceny,45.49390993,-122.6714594,7645342,673649,03-04-2023,1
19701,1200 BLOCK OF NW 9TH AVE,23-85890,Property,Pearl,03-04-2023,1130,Larceny Offenses,All Other Larceny,45.53190633,-122.6804821,7643403,687560,03-04-2023,1
19702,5300 BLOCK OF NE 33RD AVE,23-86130,Property,Concordia,03-04-2023,1841,Robbery,Robbery,45.56141121,-122.6305952,7656466,697973,03-04-2023,1
19703,11500 BLOCK OF SE STARK ST,23-85712,Property,Mill Park,03-04-2023,1800,Vandalism,Vandalism,45.51894426,-122.5445933,7678094,681925,03-04-2023,1
19704,9700 BLOCK OF SE WASHINGTON ST,23-907480,Property,Hazelwood,03-04-2023,1256,Larceny Offenses,Theft From Building,45.51827902,-122.5629314,7673389,681802,03-04-2023,1
19705,9600 BLOCK OF SE FOSTER RD,23-907475,Property,Lents,03-04-2023,1128,Larceny Offenses,All Other Larceny,45.47854399,-122.564133,7672711,667327,03-04-2023,1
19706,1000 BLOCK OF NE AINSWORTH ST,23-85672,Property,Vernon,03-04-2023,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.56626198,-122.6545927,7650369,699904,03-04-2023,1
19707,3900 BLOCK OF NE 99TH AVE,23-907602,Property,,03-04-2023,2105,Larceny Offenses,Theft From Motor Vehicle,45.55159487,-122.5608974,7674220,693932,03-04-2023,1
19708,5100 BLOCK OF NE 42ND AVE,23-85660,Property,Concordia,03-04-2023,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.55992485,-122.6204669,7659045,697363,03-04-2023,1
19709,1300 BLOCK OF N SKIDMORE ST,23-907606,Property,Overlook,03-04-2023,2255,Larceny Offenses,Theft From Motor Vehicle,45.55459598,-122.6800691,7643732,695827,03-04-2023,1
19710,1000 BLOCK OF SW 10TH AVE,23-85767,Property,Downtown,03-04-2023,1110,Vandalism,Vandalism,45.51769316,-122.6834215,7642510,682400,03-04-2023,1
19711,3100 BLOCK OF NE 19TH AVE,23-85616,Property,Sabin,03-04-2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.54554794,-122.6462157,7652313,692297,03-04-2023,1
19712,2300 BLOCK OF SW VERMONT ST,23-86305,Property,Hillsdale,03-04-2023,800,Motor Vehicle Theft,Motor Vehicle Theft,45.47599598,-122.7011591,7637551,667326,03-04-2023,1
19713,S HOOKER ST / S WATER AVE,23-907593,Property,South Portland,03-04-2023,1640,Larceny Offenses,Theft From Motor Vehicle,45.50223944,-122.6765496,7644119,676720,03-04-2023,1
19714,UNKNOWN ADDRESS,23-85645,Property,,03-04-2023,834,Fraud Offenses,Welfare Fraud,,,,,03-04-2023,1
19715,5000 BLOCK OF N WILLAMETTE BLVD,23-85632,Property,University Park,03-04-2023,1200,Extortion/Blackmail,Extortion/Blackmail,45.57466211,-122.7252402,7632367,703456,03-04-2023,1
19716,12700 BLOCK OF NE WHITAKER WAY,23-85716,Property,Argay,03-04-2023,1300,Burglary,Burglary,45.56085457,-122.5317467,7681770,697118,03-04-2023,1
19717,4100 BLOCK OF SE FLAVEL ST,23-907609,Property,Woodstock,03-04-2023,0,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.46907892,-122.6199667,7658304,664248,03-04-2023,1
19718,3900 BLOCK OF SE 37TH AVE,23-86093,Property,Creston-Kenilworth,03-04-2023,2000,Vandalism,Vandalism,45.49441152,-122.624544,7657373,673512,03-04-2023,1
19719,600 BLOCK OF SW JACKSON ST,23-85702,Property,Downtown,03-04-2023,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.50926041,-122.684506,7642149,679334,03-04-2023,1
19720,8300 BLOCK OF SE STARK ST,23-86170,Property,Montavilla,03-04-2023,1750,Motor Vehicle Theft,Motor Vehicle Theft,45.51916641,-122.577634,7669630,682222,03-04-2023,1
19721,2000 BLOCK OF NE MULTNOMAH ST,23-85833,Property,Sullivan's Gulch,03-04-2023,1518,Burglary,Burglary,45.53141327,-122.6453065,7652409,687139,03-04-2023,1
19722,5300 BLOCK OF SE 139TH AVE,23-85791,Property,Powellhurst-Gilbert,03-04-2023,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.48403107,-122.5209533,7683833,669047,03-04-2023,1
19723,3500 BLOCK OF NW YEON AVE,23-907469,Property,Northwest Industrial,03-04-2023,0,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.54758991,-122.7141705,7634930,693511,03-04-2023,1
19724,2000 BLOCK OF NE MULTNOMAH ST,23-85965,Property,Sullivan's Gulch,03-04-2023,1459,Burglary,Burglary,45.53141327,-122.6453065,7652409,687139,03-04-2023,1
19725,1900 BLOCK OF SE ELLIOTT AVE,23-85680,Property,Hosford-Abernethy,03-04-2023,1200,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.50914738,-122.6486017,7651349,679046,03-04-2023,1
19726,6400 BLOCK OF N LOMBARD ST,23-907435,Property,Portsmouth,03-04-2023,700,Vandalism,Vandalism,45.58571352,-122.7330317,7630484,707539,03-04-2023,1
19727,8400 BLOCK OF NE COLUMBIA BLVD,23-907465,Property,Sumner,03-04-2023,320,Burglary,Burglary,45.56438435,-122.5757433,7670538,698691,03-04-2023,1
19728,6300 BLOCK OF N LOMBARD ST,23-86015,Property,University Park,03-04-2023,1556,Larceny Offenses,Shoplifting,45.58525045,-122.7317279,7630813,707361,03-04-2023,1
19729,5200 BLOCK OF S CORBETT AVE,23-907570,Property,South Portland,03-04-2023,1630,Vandalism,Vandalism,45.48540374,-122.6767159,7643911,670585,03-04-2023,1
19730,100 BLOCK OF SE 105TH AVE,23-83780,Property,Hazelwood,03-04-2023,100,Motor Vehicle Theft,Motor Vehicle Theft,45.52136499,-122.5554602,7675332,682878,03-04-2023,1
19731,6400 BLOCK OF N GREELEY AVE,23-85857,Property,Arbor Lodge,03-04-2023,0,Vandalism,Vandalism,45.56950787,-122.6954902,7639931,701369,03-04-2023,1
19732,NW SPRINGVILLE RD / NW SKYLINE BLVD,23-907571,Property,Forest Park,03-04-2023,1450,Larceny Offenses,Theft From Motor Vehicle,45.57257534,-122.7911339,7615479,703167,03-04-2023,1
19733,1200 BLOCK OF NW KEARNEY ST,23-907587,Property,Pearl,03-04-2023,1735,Burglary,Burglary,45.52929858,-122.6838718,7642509,686633,03-04-2023,1
19734,5300 BLOCK OF NE ALAMEDA ST,23-85824,Person,Rose City Park,03-04-2023,1214,Assault Offenses,Intimidation,45.54218627,-122.6081535,7662029,690815,03-04-2023,1
19735,4800 BLOCK OF NE 91ST AVE,23-907468,Property,Sumner,03-04-2023,100,Vandalism,Vandalism,45.55829424,-122.5690141,7672204,696427,03-04-2023,1
19736,9600 BLOCK OF N DWIGHT AVE,23-907477,Property,Portsmouth,03-04-2023,637,Larceny Offenses,All Other Larceny,45.59210076,-122.7157209,7634978,709745,03-04-2023,1
19737,13000 BLOCK OF SE TAYLOR CT,23-85860,Property,Hazelwood,03-04-2023,823,Larceny Offenses,Theft From Motor Vehicle,45.51567475,-122.5296931,7681882,680637,03-04-2023,1
19738,4900 BLOCK OF SW BARBUR BLVD,23-85559,Property,South Portland,03-04-2023,603,Vandalism,Vandalism,45.48779326,-122.6826547,7642412,671497,03-04-2023,1
19739,6300 BLOCK OF N LOMBARD ST,23-907488,Property,University Park,03-04-2023,1700,Larceny Offenses,All Other Larceny,45.58525045,-122.7317279,7630813,707361,03-04-2023,1
19740,12700 BLOCK OF NE WHITAKER WAY,23-85851,Property,Argay,03-04-2023,1600,Burglary,Burglary,45.56085457,-122.5317467,7681770,697118,03-04-2023,1
19741,400 BLOCK OF NE DAVIS ST,23-907461,Property,Kerns,03-04-2023,105,Larceny Offenses,Theft From Motor Vehicle,45.52440427,-122.6612126,7648266,684693,03-04-2023,1
19742,1000 BLOCK OF SE 60TH AVE,23-907610,Property,Mt Tabor,03-04-2023,1000,Larceny Offenses,Theft From Motor Vehicle,45.5156712,-122.6019124,7663376,681109,03-04-2023,1
19743,700 BLOCK OF SW BROADWAY DR,23-85797,Property,Southwest Hills,03-04-2023,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.5056593,-122.6853001,7641910,678027,03-04-2023,2
19744,8100 BLOCK OF SE STARK ST,23-85400,Property,Montavilla,03-04-2023,24,Vandalism,Vandalism,45.51917879,-122.5796795,7669106,682240,03-04-2023,1
19745,4900 BLOCK OF SE 28TH AVE,23-85823,Property,Reed,03-04-2023,2000,Motor Vehicle Theft,Motor Vehicle Theft,45.48735141,-122.6374446,7653998,671026,03-04-2023,1
19746,600 BLOCK OF NE THOMPSON ST,23-86167,Property,Eliot,03-04-2023,2145,Larceny Offenses,Theft From Motor Vehicle,45.53865866,-122.6591083,7648944,689874,03-04-2023,1
19747,1300 BLOCK OF NW LOVEJOY ST,23-907483,Property,Pearl,03-04-2023,0,Larceny Offenses,All Other Larceny,45.53000325,-122.684906,7642251,686897,03-04-2023,1
19748,1900 BLOCK OF SW 6TH AVE,23-86120,Person,Downtown,03-04-2023,1826,Assault Offenses,Simple Assault,45.51006032,-122.6834168,7642436,679618,03-04-2023,1
19749,UNKNOWN ADDRESS,23-908091,Property,,03-04-2023,855,Fraud Offenses,Credit Card/ATM Fraud,,,,,03-04-2023,1
19750,600 BLOCK OF NW 10TH AVE,23-86160,Property,Pearl,03-04-2023,1928,Larceny Offenses,Shoplifting,45.52760963,-122.681211,7643174,685999,03-04-2023,1
19751,400 BLOCK OF SE 103RD DR,23-907491,Property,Hazelwood,03-04-2023,1745,Larceny Offenses,All Other Larceny,45.51936666,-122.5576632,7674749,682164,03-04-2023,1
19752,NW RALEIGH ST / NW 20TH AVE,23-907476,Property,Northwest,03-04-2023,2230,Larceny Offenses,All Other Larceny,45.53417916,-122.6926833,7640300,688473,03-04-2023,1
19753,400 BLOCK OF SE 10TH AVE,23-907611,Property,Buckman West,03-04-2023,1730,Burglary,Burglary,45.51970609,-122.6557181,7649628,682943,03-04-2023,1
19754,13800 BLOCK OF SE STARK ST,23-907574,Property,Hazelwood,03-04-2023,100,Vandalism,Vandalism,45.51914504,-122.5214616,7684023,681849,03-04-2023,1
19755,2100 BLOCK OF NE ALAMEDA ST,23-907464,Property,Alameda,03-04-2023,0,Larceny Offenses,Theft From Motor Vehicle,45.5518063,-122.6432658,7653129,694558,03-04-2023,1
19756,2200 BLOCK OF NE SCHUYLER ST,23-85887,Property,Irvington,03-04-2023,1325,Larceny Offenses,Theft From Motor Vehicle,45.53567924,-122.642532,7653161,688675,03-04-2023,1
19757,100 BLOCK OF SW 5TH AVE,23-85935,Person,Downtown,03-04-2023,1430,Assault Offenses,Simple Assault,45.52236904,-122.675721,7644529,684051,03-04-2023,1
19758,,23-X5829580,Person,Piedmont,03-04-2023,2130,Assault Offenses,Simple Assault,,,,,03-04-2023,1
19759,2000 BLOCK OF SW SALMON ST,23-907572,Property,Goose Hollow,03-04-2023,100,Vandalism,Vandalism,45.52063401,-122.6939556,7639840,683545,03-04-2023,1
19760,1200 BLOCK OF NE 153RD AVE,23-85575,Property,Wilkes,03-04-2023,1000,Motor Vehicle Theft,Motor Vehicle Theft,45.53171402,-122.5049678,7688363,686325,03-04-2023,1
19761,700 BLOCK OF NE BROADWAY,23-907445,Property,Irvington,03-04-2023,2211,Larceny Offenses,Theft From Motor Vehicle,45.53510555,-122.6580909,7649170,688572,03-04-2023,1
19762,12700 BLOCK OF SE SHERMAN ST,23-907478,Property,Mill Park,03-04-2023,1055,Larceny Offenses,All Other Larceny,45.50584668,-122.5323697,7681106,677072,03-04-2023,1
19763,9300 BLOCK OF NE CASCADES PKWY,23-85614,Property,,03-04-2023,751,Burglary,Burglary,45.57630901,-122.5665341,7673007,702977,03-04-2023,1
19764,5100 BLOCK OF SE 30TH AVE,23-907604,Property,Reed,03-04-2023,30,Larceny Offenses,Theft From Motor Vehicle,45.48603572,-122.6342786,7654797,670525,03-04-2023,1
19765,13600 BLOCK OF SE DIVISION ST,23-85469,Property,Powellhurst-Gilbert,03-04-2023,227,Burglary,Burglary,45.50399339,-122.5231228,7683459,676337,03-04-2023,1
19766,4100 BLOCK OF SE CESAR E CHAVEZ BLVD,23-907998,Property,Creston-Kenilworth,03-04-2023,1025,Fraud Offenses,Credit Card/ATM Fraud,45.49284876,-122.6227028,7657830,672930,03-04-2023,1
19767,1900 BLOCK OF SW 6TH AVE,23-86120,Person,Downtown,03-04-2023,1826,Assault Offenses,Aggravated Assault,45.51006032,-122.6834168,7642436,679618,03-04-2023,1
19768,5200 BLOCK OF SE 82ND AVE,23-86187,Property,Foster-Powell,03-04-2023,2010,Vandalism,Vandalism,45.48480298,-122.5789907,7668960,669706,03-04-2023,1
19769,3600 BLOCK OF NE 22ND AVE,23-85670,Property,Alameda,03-04-2023,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.54942074,-122.6431913,7653125,693688,03-04-2023,1
19770,3200 BLOCK OF NE 12TH AVE,23-85626,Property,Sabin,03-04-2023,30,Motor Vehicle Theft,Motor Vehicle Theft,45.5463548,-122.6533918,7650483,692640,03-04-2023,1
19771,,23-X5824315,Person,Downtown,03-04-2023,2127,Assault Offenses,Simple Assault,,,,,03-04-2023,1
19772,4500 BLOCK OF SE WOODSTOCK BLVD,23-86069,Property,Woodstock,03-04-2023,950,Larceny Offenses,Theft From Building,45.47913443,-122.6159504,7659430,667886,03-04-2023,1
19773,4500 BLOCK OF SE WOODSTOCK BLVD,23-86069,Property,Woodstock,03-04-2023,950,Burglary,Burglary,45.47913443,-122.6159504,7659430,667886,03-04-2023,1
19774,,23-X5824317,Person,North Tabor,03-04-2023,2310,Assault Offenses,Simple Assault,,,,,03-04-2023,1
19775,4000 BLOCK OF NE 122ND AVE,23-85748,Property,Parkrose,03-04-2023,1000,Motor Vehicle Theft,Motor Vehicle Theft,45.55199374,-122.5372869,7680270,693924,03-04-2023,1
19776,1500 BLOCK OF N TOMAHAWK ISLAND DR,23-907592,Property,Hayden Island,03-04-2023,1630,Larceny Offenses,Theft From Motor Vehicle,45.61240865,-122.683305,7643473,716921,03-04-2023,1
19777,,23-X5824327,Person,Mill Park,03-04-2023,1225,Sex Offenses,Rape,,,,,03-04-2023,1
19778,2500 BLOCK OF NE 82ND AVE,23-86116,Property,Madison South,03-04-2023,1825,Vandalism,Vandalism,45.5404757,-122.5788512,7669518,689997,03-04-2023,1
19779,11000 BLOCK OF SE CLINTON ST,23-908089,Property,Powellhurst-Gilbert,03-04-2023,0,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.50255715,-122.5498168,7676604,675986,03-04-2023,1
19780,0 BLOCK OF NE 2ND AVE,23-85905,Property,Kerns,03-04-2023,800,Larceny Offenses,All Other Larceny,45.52331249,-122.6636808,7647623,684312,03-04-2023,1
19781,,23-X5824327,Person,Mill Park,03-04-2023,1225,Sex Offenses,Sodomy,,,,,03-04-2023,1
19782,10300 BLOCK OF NE MORRIS ST,23-86161,Property,Parkrose Heights,03-04-2023,1910,Robbery,Robbery,45.54351871,-122.5562547,7675334,690958,03-04-2023,1
19783,,23-X5824327,Property,Mill Park,03-04-2023,1225,Robbery,Robbery,,,,,03-04-2023,1
19784,6100 BLOCK OF SE 103RD AVE,23-908231,Property,Lents,03-04-2023,100,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.47795797,-122.5573454,7674446,667069,03-04-2023,1
19785,,23-X5824312,Person,Powellhurst-Gilbert,03-04-2023,1854,Assault Offenses,Simple Assault,,,,,03-04-2023,1
19786,3200 BLOCK OF N ARLINGTON PL,23-907444,Property,Kenton,03-04-2023,330,Larceny Offenses,Theft From Motor Vehicle,45.58328363,-122.7003762,7638817,706424,03-04-2023,1
19787,1500 BLOCK OF SW TAYLOR ST,23-85766,Property,Goose Hollow,03-04-2023,1109,Burglary,Burglary,45.52020574,-122.6883578,7641270,683350,03-04-2023,1
19788,16000 BLOCK OF SE DIVISION ST,23-908229,Property,Centennial,03-04-2023,2155,Burglary,Burglary,45.50457647,-122.4978023,7689954,676388,03-04-2023,1
19789,14900 BLOCK OF SE LINCOLN ST,23-85676,Property,Centennial,03-04-2023,2000,Motor Vehicle Theft,Motor Vehicle Theft,45.50805886,-122.5090803,7687095,677729,03-04-2023,1
19790,17800 BLOCK OF NE RIVERSIDE PKWY,23-85263,Society,Wilkes,03-04-2023,2245,Weapon Law Violations,Weapons Law Violations,45.55444596,-122.480634,7694800,694457,03-04-2023,1
19791,SE 134TH DR / SE BUFORD LN,23-907462,Property,Pleasant Valley,03-04-2023,200,Larceny Offenses,Theft From Motor Vehicle,45.46450905,-122.5266417,7682196,661968,03-04-2023,1
19792,17800 BLOCK OF E BURNSIDE ST,23-907479,Property,,03-04-2023,948,Larceny Offenses,All Other Larceny,45.52191223,-122.4796046,7694773,682592,03-04-2023,1
19793,2700 BLOCK OF SE 82ND AVE,23-908088,Property,South Tabor,03-04-2023,100,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.50283565,-122.5787455,7669192,676277,03-04-2023,1
19794,2800 BLOCK OF SE 50TH AVE,23-86081,Property,Richmond,03-04-2023,1300,Motor Vehicle Theft,Motor Vehicle Theft,45.50204571,-122.6110764,7660898,676204,03-04-2023,1
19795,800 BLOCK OF SE WASHINGTON ST,23-85582,Property,Buckman West,03-04-2023,711,Burglary,Burglary,45.5186826,-122.6571857,7649242,682580,03-04-2023,1
19796,6500 BLOCK OF N INTERSTATE AVE,23-85853,Property,Arbor Lodge,03-04-2023,1200,Counterfeiting/Forgery,Counterfeiting/Forgery,45.57038557,-122.6819533,7643405,701595,03-04-2023,1
19797,SE ASH ST / SE GRAND AVE,23-907607,Property,Buckman West,03-04-2023,2000,Larceny Offenses,Theft From Motor Vehicle,45.52150533,-122.6607159,7648365,683633,03-04-2023,1
19798,0 BLOCK OF NW 23RD PL,23-85987,Property,Northwest,03-04-2023,750,Larceny Offenses,Theft From Motor Vehicle,45.52410901,-122.6997613,7638387,684852,03-04-2023,1
19799,8800 BLOCK OF NE SACRAMENTO ST,23-801375,Property,Madison South,03-04-2023,1700,Fraud Offenses,Credit Card/ATM Fraud,45.53930101,-122.5718862,7671291,689523,03-04-2023,1
19800,0 BLOCK OF NW 23RD PL,23-85987,Property,Northwest,03-04-2023,750,Vandalism,Vandalism,45.52410901,-122.6997613,7638387,684852,03-04-2023,1
19801,,23-X5824291,Person,Downtown,03-04-2023,1430,Kidnapping/Abduction,Kidnapping/Abduction,,,,,03-04-2023,1
19802,7000 BLOCK OF N VANCOUVER AVE,23-85642,Property,Piedmont,03-04-2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.57388317,-122.6687819,7646811,702779,03-04-2023,1
19803,0 BLOCK OF SE MORRISON ST,23-908227,Property,Buckman West,03-04-2023,0,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.5171844,-122.6650708,7647207,682088,03-04-2023,1
19804,6500 BLOCK OF N INTERSTATE AVE,23-85853,Property,Arbor Lodge,03-04-2023,1200,Fraud Offenses,Identity Theft,45.57038557,-122.6819533,7643405,701595,03-04-2023,1
19805,4300 BLOCK OF N HOUGHTON ST,23-907575,Property,Portsmouth,03-04-2023,1315,Vandalism,Vandalism,45.58710523,-122.7121222,7635849,707899,03-04-2023,1
19806,300 BLOCK OF NE 151ST AVE,23-85416,Property,Glenfair,03-04-2023,42,Vandalism,Vandalism,45.52492139,-122.5080924,7687501,683869,03-04-2023,1
19807,3500 BLOCK OF SE POWELL BLVD,23-86102,Property,Creston-Kenilworth,03-04-2023,1417,Larceny Offenses,All Other Larceny,45.49688903,-122.6279528,7656523,674438,03-04-2023,1
19808,300 BLOCK OF SE STEPHENS ST,23-907472,Property,Hosford-Abernethy,03-04-2023,805,Vandalism,Vandalism,45.5093383,-122.662407,7647813,679210,03-04-2023,1
19809,4500 BLOCK OF NE 102ND AVE,23-86129,Property,Parkrose,03-04-2023,1901,Fraud Offenses,Credit Card/ATM Fraud,45.55583647,-122.5578296,7675045,695458,03-04-2023,1
19810,,23-X5825185,Person,Northwest,03-04-2023,1728,Sex Offenses,Rape,,,,,03-04-2023,1
19811,,23-X5825185,Property,Northwest,03-04-2023,1728,Vandalism,Vandalism,,,,,03-04-2023,1
19812,,23-X5825232,Person,Northwest,03-04-2023,1545,Assault Offenses,Intimidation,,,,,03-04-2023,1
19813,1400 BLOCK OF SW VISTA AVE,23-907613,Property,Goose Hollow,03-04-2023,1600,Larceny Offenses,Theft From Motor Vehicle,45.51803272,-122.6969851,7639038,682618,03-04-2023,1
19814,8300 BLOCK OF N LOMBARD ST,23-907436,Property,St Johns,03-04-2023,2300,Vandalism,Vandalism,45.58940602,-122.7524776,7625545,709023,03-04-2023,1
19815,8900 BLOCK OF N LOMBARD ST,23-85551,Property,St Johns,03-04-2023,1200,Motor Vehicle Theft,Motor Vehicle Theft,45.5920491,-122.7566313,7624509,710016,03-04-2023,1
19816,SE 26TH AVE / SE PINE ST,23-907568,Property,Buckman East,03-04-2023,1800,Vandalism,Vandalism,45.52074855,-122.6392834,7653849,683211,03-04-2023,1
19817,4400 BLOCK OF SW LOBELIA ST,23-907443,Property,Multnomah,03-04-2023,400,Larceny Offenses,Theft From Motor Vehicle,45.46143055,-122.7227449,7631870,662169,03-04-2023,1
19818,2600 BLOCK OF NW SAVIER ST,23-85659,Property,Northwest,03-04-2023,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.53469363,-122.7058009,7636945,688752,03-04-2023,1
19819,0 BLOCK OF N CENTER COURT ST,23-907489,Property,Lloyd,03-04-2023,955,Larceny Offenses,Theft From Motor Vehicle,45.53257319,-122.6677111,7646681,687715,03-04-2023,1
19820,1400 BLOCK OF SW CLAY ST,23-907470,Property,Goose Hollow,03-04-2023,2200,Larceny Offenses,All Other Larceny,45.51595934,-122.6896108,7640907,681811,03-04-2023,1
19821,8100 BLOCK OF NE MULTNOMAH ST,23-86325,Person,Montavilla,03-04-2023,2335,Assault Offenses,Aggravated Assault,45.5315553,-122.5795161,7669264,686750,03-04-2023,1
19822,1400 BLOCK OF SW BERTHA BLVD,23-85978,Property,Hillsdale,03-04-2023,2230,Motor Vehicle Theft,Motor Vehicle Theft,45.4712315,-122.6939201,7639360,665539,03-04-2023,1
19823,16600 BLOCK OF SE DIVISION ST,23-907463,Property,Centennial,03-04-2023,2108,Larceny Offenses,Theft From Motor Vehicle,45.50453726,-122.4920031,7691440,676337,03-04-2023,1
19824,12000 BLOCK OF SE FLAVEL ST,23-908093,Property,Pleasant Valley,03-04-2023,800,Fraud Offenses,Credit Card/ATM Fraud,45.46853306,-122.5386193,7679161,663512,03-04-2023,1
19825,600 BLOCK OF SW 3RD AVE,23-907490,Property,Downtown,03-04-2023,1730,Larceny Offenses,Theft From Motor Vehicle,45.51857157,-122.6752984,7644600,682664,03-04-2023,1
19826,500 BLOCK OF NW PARK AVE,23-85620,Property,Pearl,03-04-2023,1600,Motor Vehicle Theft,Motor Vehicle Theft,45.52693291,-122.6792801,7643662,685739,03-04-2023,1
19827,4500 BLOCK OF NE KILLINGSWORTH ST,23-85573,Property,Cully,03-04-2023,2330,Motor Vehicle Theft,Motor Vehicle Theft,45.56282731,-122.6161618,7660175,698392,03-04-2023,1
19828,1400 BLOCK OF SE 100TH AVE,23-85920,Property,Hazelwood,03-04-2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.51285141,-122.5609899,7673836,679811,03-04-2023,1
19829,11200 BLOCK OF NE HOLMAN ST,23-85746,Property,Parkrose,03-04-2023,1200,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.56813281,-122.5469246,7677951,699869,03-04-2023,1
19830,15400 BLOCK OF NE ALTON ST,23-907487,Property,Wilkes,03-04-2023,1416,Larceny Offenses,All Other Larceny,45.55059326,-122.5034832,7688914,693197,03-04-2023,1
19831,900 BLOCK OF SE 162ND AVE,23-86016,Property,Centennial,03-04-2023,1556,Extortion/Blackmail,Extortion/Blackmail,45.51576947,-122.4965727,7690370,680460,03-04-2023,1
19832,1000 BLOCK OF W BURNSIDE ST,23-907988,Property,Pearl,03-04-2023,2047,Larceny Offenses,Shoplifting,45.52301993,-122.6814757,7643061,684328,03-04-2023,1
19833,5800 BLOCK OF NE GLISAN ST,23-85728,Property,North Tabor,03-04-2023,830,Motor Vehicle Theft,Motor Vehicle Theft,45.52652932,-122.6034698,7663080,685077,03-04-2023,1
19834,1100 BLOCK OF NE 99TH AVE,23-907471,Property,Hazelwood,03-04-2023,523,Vandalism,Vandalism,45.53090421,-122.5623596,7673653,686400,03-04-2023,1
19835,300 BLOCK OF SW 9TH AVE,23-85804,Person,Downtown,03-04-2023,1151,Assault Offenses,Simple Assault,45.52213693,-122.6800055,7643429,683996,03-04-2023,1
19836,1600 BLOCK OF NW 21ST AVE,23-907533,Property,Northwest,03-04-2023,2000,Larceny Offenses,All Other Larceny,45.53450909,-122.6946597,7639797,688607,03-04-2023,1
19837,,23-X5824638,Person,Mt Scott-Arleta,03-04-2023,130,Assault Offenses,Aggravated Assault,,,,,03-04-2023,1
19838,1500 BLOCK OF SW TAYLOR ST,23-907481,Property,Goose Hollow,03-04-2023,55,Larceny Offenses,Theft From Motor Vehicle,45.52020574,-122.6883578,7641270,683350,03-04-2023,1
19839,2600 BLOCK OF NW VAUGHN ST,23-85550,Property,Northwest,03-04-2023,532,Larceny Offenses,All Other Larceny,45.53674445,-122.7058767,7636946,689500,03-04-2023,1
19840,1500 BLOCK OF SW TAYLOR ST,23-85621,Property,Goose Hollow,03-04-2023,2130,Motor Vehicle Theft,Motor Vehicle Theft,45.52020574,-122.6883578,7641270,683350,03-04-2023,1
19841,5500 BLOCK OF NE 122ND AVE,23-85741,Property,Argay,03-04-2023,0,Burglary,Burglary,45.56308109,-122.5352283,7680899,697952,03-04-2023,1
